               nrHBlt0.0p_A/B/AB(A+B+AB)	0	94	144	120	358

               nrHBlt5.0p_A/B/AB(A+B+AB)	5	26	15	10	51

              nrHBlt10.0p_A/B/AB(A+B+AB)	10	21	11	7	39

              nrHBlt15.0p_A/B/AB(A+B+AB)	15	14	11	7	32

              nrHBlt20.0p_A/B/AB(A+B+AB)	20	13	11	7	31

              nrHBlt25.0p_A/B/AB(A+B+AB)	25	12	9	7	28

              nrHBlt30.0p_A/B/AB(A+B+AB)	30	8	9	7	24

              nrHBlt35.0p_A/B/AB(A+B+AB)	35	5	9	7	21

              nrHBlt40.0p_A/B/AB(A+B+AB)	40	5	8	6	19

              nrHBlt45.0p_A/B/AB(A+B+AB)	45	5	8	5	18

              nrHBlt50.0p_A/B/AB(A+B+AB)	50	5	8	4	17

              nrHBlt55.0p_A/B/AB(A+B+AB)	55	5	7	3	15

              nrHBlt60.0p_A/B/AB(A+B+AB)	60	5	7	1	13

              nrHBlt65.0p_A/B/AB(A+B+AB)	65	4	5	1	10

              nrHBlt70.0p_A/B/AB(A+B+AB)	70	1	5	1	7

              nrHBlt75.0p_A/B/AB(A+B+AB)	75	1	5	1	7

              nrHBlt80.0p_A/B/AB(A+B+AB)	80	0	3	1	4

              nrHBlt85.0p_A/B/AB(A+B+AB)	85	0	2	1	3

              nrHBlt90.0p_A/B/AB(A+B+AB)	90	0	1	0	1

              nrHBlt95.0p_A/B/AB(A+B+AB)	95	0	0	0	0

             nrHBlt100.0p_A/B/AB(A+B+AB)	100	0	0	0	0

