  CSNP_WofP1	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	+1.000000	+0.000000
  CSNP_WofP2	+20.185781	+3.095303	+0.000000	+0.000000	+0.004024	+0.063330	+2.000000	+0.000000
  CSNP_WofP3	+191.955734	+10.703292	+0.148223	+0.389668	+0.153588	+0.382353	+3.000000	+0.000000
  CSNP_WofP4	+336.460765	+15.801505	+0.360161	+0.575561	+0.281690	+0.520512	+4.000000	+0.000000
  CSNP_WofP5	+469.681422	+20.512260	+0.817572	+0.854667	+0.511737	+0.682742	+5.000000	+0.000000
  CSNP_WofP6	+637.771294	+26.542824	+1.136821	+0.967280	+0.735748	+0.793381	+6.000000	+0.000000
  CSNP_WofP7	+818.038900	+33.134703	+1.556673	+1.088673	+1.013414	+0.898818	+7.000000	+0.000000
  CSNP_WofP8	+1011.343394	+39.923485	+2.032864	+1.218809	+1.288397	+0.999996	+8.000000	+0.000000
  CSNP_WofP9	+1225.026157	+46.554622	+2.498323	+1.309938	+1.623072	+1.093657	+9.000000	+0.000000
 CSNP_WofP10	+1457.417170	+52.988428	+2.986586	+1.370772	+2.006036	+1.205954	+10.000000	+0.000000
 CSNP_WofP11	+1707.932931	+58.591736	+3.515761	+1.435966	+2.409792	+1.291328	+11.000000	+0.000000
 CSNP_WofP12	+1975.864520	+62.819346	+4.081824	+1.479166	+2.846412	+1.367364	+12.000000	+0.000000
 CSNP_WofP13	+2257.093226	+65.849462	+4.645875	+1.509927	+3.331992	+1.391408	+13.000000	+0.000000
 CSNP_WofP14	+2545.530516	+67.532042	+5.252850	+1.497128	+3.823608	+1.387531	+14.000000	+0.000000
 CSNP_WofP15	+2833.567404	+70.151504	+5.882629	+1.473356	+4.319249	+1.399913	+15.000000	+0.000000
 CSNP_WofP16	+3114.635144	+71.743529	+6.431925	+1.429751	+4.783367	+1.378898	+16.000000	+0.000000
 CSNP_WofP17	+3381.314554	+73.098506	+6.939638	+1.369997	+5.246144	+1.295492	+17.000000	+0.000000
 CSNP_WofP18	+3630.272971	+72.741216	+7.431254	+1.292649	+5.686117	+1.221481	+18.000000	+0.000000
 CSNP_WofP19	+3859.387659	+71.056788	+7.906103	+1.231263	+6.061033	+1.170512	+19.000000	+0.000000
 CSNP_WofP20	+4066.604963	+67.195210	+8.297116	+1.139109	+6.405768	+1.090997	+20.000000	+0.000000
 CSNP_WofP21	+4250.617706	+62.271607	+8.636486	+1.037865	+6.745137	+1.004404	+21.000000	+0.000000
 CSNP_WofP22	+4410.908786	+56.790996	+8.953722	+0.932560	+7.030181	+0.905480	+22.000000	+0.000000
 CSNP_WofP23	+4546.091885	+50.378570	+9.206573	+0.825099	+7.247485	+0.817460	+23.000000	+0.000000
 CSNP_WofP24	+4657.973172	+43.632333	+9.413816	+0.711212	+7.436620	+0.704140	+24.000000	+0.000000
 CSNP_WofP25	+4746.633132	+36.805240	+9.582160	+0.606832	+7.596915	+0.604650	+25.000000	+0.000000
 CSNP_WofP26	+4815.145540	+30.625070	+9.710262	+0.512156	+7.714956	+0.519329	+26.000000	+0.000000
